Negeri,Keterbandaran,Jumlah
Johor,Luar bandar,16
Johor,Semi bandar,8
Johor,Bandar,2
Kedah,Luar bandar,9
Kedah,Semi bandar,5
Kedah,Bandar,1
Kelantan,Luar bandar,11
Kelantan,Semi bandar,2
Kelantan,Bandar,1
Melaka,Luar bandar,3
Melaka,Semi bandar,1
Melaka,Bandar,2
Negeri Sembilan,Luar bandar,3
Negeri Sembilan,Semi bandar,3
Negeri Sembilan,Bandar,2
Pahang,Luar bandar,11
Pahang,Semi bandar,2
Pahang ,Bandar,1
Perak,Luar bandar,13
Perak,Semi bandar,8
Perak,Bandar,3
Perlis,Luar bandar,2
Perlis,Semi bandar,1
Perlis,Bandar,0
Pulau Pinang,Luar bandar,3
Pulau Pinang,Semi bandar,4
Pulau Pinang,Bandar,6
Sabah,Luar bandar,20
Sabah,Semi bandar,4
Sabah ,Bandar,1
Sarawak,Luar bandar,24
Sarawak,Semi bandar,5
Sarawak,Bandar,2
Selangor,Luar bandar,5
Selangor,Semi bandar,5
Selangor,Bandar,12
Terengganu,Luar bandar,5
Terengganu,Semi bandar,2
Terengganu,Bandar,1
Kuala Lumpur,Luar bandar,1
Kuala Lumpur,Semi bandar,0
Kuala Lumpur,Bandar,10
Putrajaya,Luar bandar,0
Putrajaya,Semi bandar,0
Putrajaya,Bandar,1
Labuan,Luar bandar,0
Labuan,Semi bandar,1
Labuan,Bandar,0
