KAWASAN,BAHAGIAN PILIHAN RAYA,latitude,longitude
JOHOR,P. 140 - SEGAMAT,2.5035,102.8208
JOHOR,P. 141 - SEKIJANG,2.5601,102.9312
JOHOR,P. 142 - LABIS,2.3823,103.0201
JOHOR,P. 143 - PAGOH,2.1492,102.7722
JOHOR,P. 144 - LEDANG,2.3434,102.5987
JOHOR,P. 151 - SIMPANG RENGGAM,1.8273,103.31
JOHOR,P. 153 - SEMBRONG,2.5091,103.4049
JOHOR,P. 154 - MERSING,2.4309,103.8361
JOHOR,P. 155 - TENGGARA,1.4854,103.7618
JOHOR,P. 156 - KOTA TINGGI,1.7294,103.8992
JOHOR,P. 157 - PENGERANG,1.3647,104.1111
JOHOR,P. 158 - TEBRAU,1.5714,103.7521
JOHOR,P. 163 - KULAI,1.663,103.5999
KEDAH,P. 006 - KUBANG PASU,6.3726,100.437
KEDAH,P. 007 - PADANG TERAP,6.2568,100.611
KEDAH,P. 011 - PENDANG,5.993,100.4773
KEDAH,P. 013 - SIK,5.8183,100.743
KEDAH,P. 016 - BALING,5.6755,100.9168
KEDAH,P. 018 - KULIM-BANDAR BAHARU,5.3717,100.5553
KELANTAN,P. 027 - TANAH MERAH,5.8089,102.1471
KELANTAN,P. 032 - GUA MUSANG,4.8843,101.9682
MELAKA,P. 135 - ALOR GAJAH,2.3822,102.2116
MELAKA,P. 139 - JASIN,2.3113,102.4309
NEGERI SEMBILAN,P. 126 - JELEBU,2.9411,102.0719
NEGERI SEMBILAN,P. 127 - JEMPOL,2.8966,102.4055
NEGERI SEMBILAN,P. 129 - KUALA PILAH,2.7405,102.2489
NEGERI SEMBILAN,P. 133 - TAMPIN,2.473,102.2312
PAHANG,P. 078 - CAMERON HIGHLANDS,4.4721,101.3801
PAHANG,P. 079 - LIPIS,4.1843,102.0542
PAHANG,P. 080 - RAUB,3.7935,101.8575
PAHANG,P. 081 - JERANTUT,3.9374,102.632
PAHANG,P. 084 - PAYA BESAR,3.7765,103.2746
PAHANG,P. 085 - PEKAN,3.4921,103.3895
PAHANG,P. 086 - MARAN,3.5834,102.7791
PAHANG,P. 087 - KUALA KRAU,3.5671,102.4145
PAHANG,P. 088 - TEMERLOH,3.4486,102.4163
PAHANG,P. 089 - BENTONG,3.5222,101.9104
PAHANG,P. 090 - BERA,3.2647,102.4459
PAHANG,P. 091 - ROMPIN,2.7945,103.4862
PERAK,P. 054 - GERIK,5.4168,101.1164
PERAK,P. 055 - LENGGONG,5.1084,100.968
PERAK,P. 056 - LARUT,4.8547,100.7436
PERAK,P. 062 - SUNGAI SIPUT,4.819,101.0737
PERAK,P. 077 - TANJONG MALIM,3.6795,101.5203
PERLIS,P. 001 - PADANG BESAR,6.6626,100.3217
SABAH,P. 188 - SILAM,4.9783,118.2296
SABAH,P. 190 - TAWAU,4.2447,117.8912
SELANGOR,P. 094 - HULU SELANGOR,3.5601,101.6583
TERENGGANU,P. 033 - BESUT,5.829,102.5524
TERENGGANU,P. 034 - SETIU,5.4442,102.8285
TERENGGANU,P. 035 - KUALA NERUS,5.3679,103.0472
TERENGGANU,P. 038 - HULU TERENGGANU,5.073,103.0089
TERENGGANU,P. 039 - DUNGUN,4.7549,103.4156
TERENGGANU,P. 040 - KEMAMAN,4.2338,103.3638
